"MYC-19","MYC0019","Lion Gate III M.11",37.73,22.756,"Lion Gate III","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"Q",82600,97500,4.37,778,4420,29800,2.33,1.232,5.225,31.43,4070,.384,27.7,29.65,22.43,53300,60.4,2.44,10.5,.785,249.9,10.56,237,152,.731,3.15,199,,752,-1250
"MYC-20","MYC0020","Lion Gate III M.12",37.73,22.756,"Lion Gate III","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LM IIIB (Maybe-Karageorghis) (Discription) LH IIIB, 1300-1200 BC","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"R",88500,19700,7.16,314,3960,15300,4.04,2.037,9.081,55.48,6190,.536,46.2,21.91,17.62,17300,119.1,3.88,7.8,2.035,148.4,16.9,35,103,1.256,8.3,117,,753,-1250
"MYC-21","MYC0021","Lion Gate III M.13",37.73,22.756,"Lion Gate III","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"S",81100,95700,4.54,939,5690,24200,2.28,1.219,5.143,32.72,4060,.36,28.1,30.12,21.25,52100,60.7,2.5,8.6,.922,245,10.36,219,137,.872,2.99,184,,754,-1250
"MYC-22","MYC0022","Lion Gate III M.14",37.73,22.756,"Lion Gate III","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIA (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"T",76300,87500,4.05,955,8700,19100,2.17,1.146,4.883,29.35,4520,.364,25.8,29.11,21.48,52900,60.4,2.28,9.7,.833,235.9,10.83,165,164,.849,3.58,113,,755,-1250
"MYC-23","MYC0023","Lion Gate IV M.15",37.73,22.756,"Lion Gate IV","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"U",81600,98600,4.41,967,6980,22600,2.3,1.267,5.188,31.72,4220,.386,27.3,28.17,21.6,53600,64,2.4,8.4,.838,251.9,10.94,233,135,.814,3.56,133,,756,-1250
"MYC-24","MYC0024","Lion Gate V M.16",37.73,22.756,"Lion Gate V","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"V",82400,90300,4.44,930,5590,27900,2.48,1.22,5.14,31.96,4520,.36,30.1,28.59,21.47,53500,62.9,2.66,8.9,.844,255.4,11.05,219,127,.815,3.93,130,,757,-1250
"MYC-25","MYC0025","Lion Gate V M.17",37.73,22.756,"Lion Gate V","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"W",78800,98900,4.63,817,6000,27100,2.51,1.183,5.283,30.46,4150,.354,27.2,28.77,20.72,49100,62.5,2.57,8.1,.838,269.9,10.55,268,118,.892,3.67,135,,758,-1250
"MYC-26","MYC0026","Lion Gate V M.18",37.73,22.756,"Lion Gate V","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"X",83000,104500,4.42,878,4180,27800,2.09,1.184,5.001,29.56,4070,.356,24.4,29.6,21.54,54200,59,2.34,8.9,.771,266.7,10.38,249,135,.899,3.64,139,,759,-1250
"MYC-27","MYC0027","Lion Gate V M.19",37.73,22.756,"Lion Gate V","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"Y",85100,122500,4.47,959,5180,30900,2.25,1.162,4.994,30.71,3570,.394,26.3,27.49,21.32,52200,61.4,2.45,9.4,.792,228.7,10.72,209,160,.813,3.8,138,,760,-1250
"MYC-28","MYC0028","Lion Gate V M.20",37.73,22.756,"Lion Gate V","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"Z",78100,99600,4.64,809,6860,24200,2.16,1.094,4.95,29.73,3760,.375,24.1,26.45,19.62,49700,58.7,2.4,8,.834,246.1,10,199,142,.693,3.78,129,,761,-1250
